geo,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0,0,0,0.0166,0,0,0,0.0166,0,0,0,0,0,0.02,0,0,0,0,0,
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,5.47,0,0,0,0,7.16,0,0,0,0,0,
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9,0,0,0,0,68.3,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729,0,0,0,0,0,0,0,1.38,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.0174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0,0,0,0.582,0,0,0,0,0,0,0,0,0,0,0,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,1.36,0,0,0,0,0,0,1.41,0,0,0,0,1.83,0,0,0,0,1.63,0,1.72,0,
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,7.86,0,0,0,0,0,0,0,0,0,0,10.6
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.0817,0,0,0,0,0.0849,0,0,0,0,0,0,0,0,0,0,
Finland,0,0,0,0,0,0,0,0,3.3,0,0,0,0,3.55,0,0,0,0,3.7,0,0,0,0,4,0,0,0,0,2.35,0,0,0,0,2.59,0,0,0,2.33,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,34.9,0,0,0,0,0,0,39.2,0,0,0,0,30.3,0,0,0,0,32.4,0,0,0,0,31.4,0,0,0,0,30.2,0,0,0,
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,1.82,0,0,0,0,0,0,0,
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3,0,0,0,45.2,0,0,0,0,0,39.1,0,0,0,0,0,32.3,0,0,33,0,0,0,0,0,
Ghana,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Greece,0,0,0,0,0,0,0,0,4.25,0,0,0,0,4.28,0,0,0,0,5.04,0,0,0,0,5.5,0,0,0,0,0,0,8.04,0,0,0,0,8.7,0,0,0,0,9.26,0,0,0,0,9.63,0,0,0,0,0,0,0,0,
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.0141,0,
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0,0,0,0,0.175,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,
Hungary,0,0,0,0,0,0,0,0,2.98,0,0,0,0,3.96,0,0,0,0,4.8,0,0,0,0,6.35,0,0,0,0,0,0,7.14,0,0,0,6.01,0,0,0,0,0,5.72,0,0,0,0,5.58,0,0,0,0,5.05,0,0,0,
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0,0,0,0,0.112,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0.165,0,0.165,0,0,0,0,0,0,0,3.57,0,0,0.278,
India,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,438,0,0,0,0,0,497,0,0,0,500,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,761,0,0,0,0,0,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,89.7,0,0,93.3,0,0,0,0,0,0,0,0,0,0,0,
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,0,0,0,0,40.8,0,0,0,0,41,0,0,0,0,42.8,0,0,0,0,54.4,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.757,0,0,0,0,0,0,
Israel,0,0,0,0,0,0,0,0,1.56,0,0,0,0,1.63,0,0,0,0,1.7,0,0,0,0,0,1.9,0,0,0,1.8,0,0,0,0,1.81,0,0,0,0,0,0,1.83,0,1.95,0,0,0,0,0,0,0,0,0,0,0,
Italy,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0,0,0,0,0,0,0,53.8,0,0,0,0,0,0,0,
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812,0,0,0,0,0,0,0,0,
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.2,0,0,0,0,0,0,0,0,0,0,0,91.4,0,0,0,0,89.2,0,0,0,0,84.7,0,0,0,0,83,0,81.5,0,0,0,0,0,0,
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451,0,0,0,0,0.535,0,0,0,0,0.619,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0,0,0,0.803,0,0,0,0,0.932,0,0,0,0,0.849,0,0,1.1,
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7,0,0,0,0,0,0,19.7,0,0,0,0,20.7,0,0,21.1,0,0,0,0,0,
Kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0,0,0,0,3.22,0,0,0,0,0,
